quote,author,category,escola
"Make the best use of what is in your power, and take the rest as it happens.",Epictetus,"Power, Rest, Happens ",Estoicismo
To refrain from imitation is the best revenge.,Marcus Aurelius,"Revenge, Imitation, Refrain ",Estoicismo
The best effort of a fine person is felt after we have left their presence.,Ralph Waldo Emerson,"Effort, Person, Fine ",Transcendentalismo
Our best thoughts come from others.,Ralph Waldo Emerson,"Thoughts, Others, Come ",Transcendentalismo
"A good traveler has no fixed plans, and is not intent on arriving.",Lao Tzu,"Travel, Plans, Intent ",Taoismo
To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,Buddha,"Health, Strong, Mind ",Budismo
It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve and bad things are very easy to get.,Confucius,"Love, Hate, Easy ",Confucionismo
"Just as treasures are uncovered from the earth, so virtue appears from good deeds, and wisdom appears from a pure and peaceful mind. To walk safely through the maze of human life, one needs the light of wisdom and the guidance of virtue.",Buddha,"Life, Wisdom, Light ",Budismo
A good decision is based on knowledge and not on numbers.,Plato,"Knowledge, Decision, Numbers ",Platonismo
"By all means, marry. If you get a good wife, you'll become happy; if you get a bad one, you'll become a philosopher.",Socrates,"Marriage, Happy, Wife ",Filosofia Socrática
"When one has not had a good father, one must create one.",Friedrich Nietzsche,"Father, Create, Good Father ",Niilismo / Existencialismo (precursor)
"Treat those who are good with goodness, and also treat those who are not good with goodness. Thus goodness is attained. Be honest to those who are honest, and be also honest to those who are not honest. Thus honesty is attained.",Lao Tzu,"Honesty, Treat, Goodness ",Taoismo
A good commander is benevolent and unconcerned with fame.,Sun Tzu,"Fame, Commander, Unconcerned ",Filosofia Militar Chinesa
We are all ready to be savage in some cause. The difference between a good man and a bad one is the choice of the cause.,William James,"Man, Choice, Savage ",Pragmatismo
