quote,author,category,escola
"When a man is prey to his emotions, he is not his own master.",Baruch Spinoza,"attitude, control, emotions",Racionalismo
"Your only problem, perhaps, is that you scream without letting yourself cry.",Friedrich Nietzsche,"cry, emotions, nietzsche, scream",Niilismo / Existencialismo (precursor)
After coming into contact with a religious man I always feel I must wash my hands.,Friedrich Nietzsche,atheism,Niilismo / Existencialismo (precursor)
Better a diamond with a flaw than a pebble without.,Confucius,"gems, value",Confucionismo
"Even if, by some especially unfortunate fate or by the niggardly provision of stepmotherly nature, [the good will] should be wholly lacking in the power to accomplish its purpose; if with the greatest effort it should yet achieve nothing, and only the good will should remain (not, to be sure, as a mere wish but as the summoning of all the means in our power), yet would it, like a jewel, still shine by its own light as something which has its full value in itself.",Immanuel Kant,"ends, good-will, jewels, light-of-nature, value",Idealismo Transcendental
I should like to be able to love my country and still love justice.,Albert Camus,"justice, nationalism, patriotism",Existencialismo / Absurdismo
"Can I by justice or by crooked ways of deceit ascend a loftier tower which may he a fortress to me all my days? For what men say is that, if I am really just and am not also thought just profit there is none, but the pain and loss on the other hand are unmistakable. But if, though unjust, I acquire the reputation of justice, a heavenly life is promised to me. Since then, as philosophers prove, appearance tyrannizes over truth and is lord of happiness, to appearance I must devote myself.",Plato,"justice, rhetoric, sophistry",Platonismo
"The kosmos works by harmony of tensions, like lyre and bow. Good and evil are one. On the one hand God sees all as well, fair, and good; on the other hand a human being sees injustice here, justice there. Justice in our minds is strife. We cannot help but see war makes us as we are.",Heraclitus,"good-and-evil, justice, moral-world-order, war",Pré-socrático
The First wealth is health.,Ralph Waldo Emerson,health,Transcendentalismo
"Such things as are good simply because they have been commanded or instituted, or as being symbols of something good, are mere shadows which cannot be reckoned among actions that are the offspring, as it were, or fruit of a sound mind and of intellect.",Baruch Spinoza,good,Racionalismo
Much of what we call evil can often be converted into a bracing and tonic good by a simple change of the sufferer's inner attitude from one of fear to one of fight,William James,"call-evil, fear, fight, good, inner-attitude",Pragmatismo
"One day, the old wise Socrates walks down the streets, when all of the sudden a man runs up to him ""Socrates I have to tell you something about your friend who...""""Hold up"" Socrates interrupts him ""About the story you're about to tell me, did you put it trough the three sieves?""""Three sieves?"" The man asks ""What three sieves?""""Let's try it"" Socrates says.""The first sieve is the one of truth, did you examine what you were about to tell me if it is true?"" Socrates asks.""Well no, I just overheard it"" The man says.""Ah, well then you have used the second sieve, the sieve of good?"" Socrates asks ""Is it something good what you're about to tell me?""""Ehm no, on the contrary"" the man answers.""Hmmm"" The wise man says ""Let's use the third sieve then, is it necessary to tell me what you're so exited about?""""No not necessary"" the man says.""Well"" Socrates says with a smile ""If the story you're about to tell me isn't true, good or necessary, just forget it and don't bother me with it.",Socrates,"good, tolerance, truth",Filosofia Socrática
"At bottom every man knows well enough that he is a unique being, only once on this earth; and by no extraordinary chance will such a marvelously picturesque piece of diversity in unity as he is, ever be put together a second time.",Friedrich Nietzsche,"diversity, evolution, genetics",Niilismo / Existencialismo (precursor)
Nature has made up her mind that what cannot defend itself shall not be defended.,Ralph Waldo Emerson,"evolution, nature, self-defence",Transcendentalismo
"Species do not grow more perfect: the weaker dominate the strong again and again - the reason being they are the great majority, and they are also cleverer.... Darwin forgot the mind (- that in English): the weak possess more mind. ... To acquire mind one must need mind - one loses it when one no longer needs it. He who possesses strength divests himself of mind.",Friedrich Nietzsche,"anti-darwin, evolution, survival-of-species",Niilismo / Existencialismo (precursor)
It is impossible to begin to learn that which one thinks one already knows.,Epictetus,humility,Estoicismo
No reproach for a person willing to give honorable service in the passion to become wise.,Plato,"education, humility, teachability",Platonismo
"It is not so much what happens to you as how you think about what happens."" Epictetus",Epictetus,"attitude, inspirational",Estoicismo
"When we observe how some people know how to manage their experiences--their insignificant, everyday experiences--so that they become an arable soil that bears fruit three times a year, while others--and how many there are!--are driven through surging waves of destiny, the most multifarious currents of the times and the nations, and yet always remain on top, bobbing like a cork, then we are in the end tempted to divide mankind into a minority (a minimality) of those who know how to make much of little, and a majority of those who know how to make little of much.",Friedrich Nietzsche,"attitude, everyday, experiences, life",Niilismo / Existencialismo (precursor)
"My dear,In the midst of hate, I found there was, within me, an invincible love.In the midst of tears, I found there was, within me, an invincible smile.In the midst of chaos, I found there was, within me, an invincible calm.I realized, through it all, that…In the midst of winter, I found there was, within me, an invincible summer.And that makes me happy. For it says that no matter how hard the world pushes against me, within me, there’s something stronger – something better, pushing right back.Truly yours,Albert Camus”I like this because only one part is usually quoted but the full quote has such symmetry.",Albert Camus,"attitude, full-quotes, life-lessons, self-worth",Existencialismo / Absurdismo
"Lao Tzu ""The key to growth is the introductionof higher dimensions of consciousnessinto our awareness.",Lao Tzu,"spiritual-sayings, spiritual-wisdom",Taoismo
"Cultivate the habit of being grateful for every good thing that comes to you, and to give thanks continuously. And because all things have contributed to your advancement, you should include all things in your gratitude.",Ralph Waldo Emerson,gratitude,Transcendentalismo
"For each new morning with its light,For rest and shelter of the night,For health and food, for love and friends,For everything Thy goodness sends.",Ralph Waldo Emerson,gratitude,Transcendentalismo
"In the vast reaches of the dry, cold night, thousands of stars were constantly appearing, and their sparkling icicles, loosened at once, began to slip gradually toward the horizon.",Albert Camus,"breathe, look-up-and-enjoy-life, perspective, relax",Existencialismo / Absurdismo
"The world you see, nature's greatest and most glorious creation, and the human mind which gazes and wonders at it, and is the most splendid part of it, these are our own everlasting possessions and will remain with us as long as we ourselves remain. So, eager and upright, let us hasten with bold steps wherever circumstances take us, and let us journey through any countries whatever: there can be no place of exile within the world since nothing within the world is alien to men.",Seneca,"exile, life, location, military, moving, perspective",Estoicismo
"The person who fights monsters should make sure that in the process, he does not become a monster himself. Because when you stare down at an abyss, the abyss stares back at you.",Friedrich Nietzsche,"actualization, fight, identification, self-realization, uncertainly",Niilismo / Existencialismo (precursor)
"How long are you going to wait before you demand the best for yourself and in no instance bypass the discriminations of reason? You have been given the principles that you ought to endorse, and you have endorsed them. What kind of teacher, then, are you still waiting for in order to refer your self-improvement to him? You are no longer a boy, but a full-grown man. If you are careless and lazy now and keep putting things off and always deferring the day after which you will attend to yourself, you will not notice that you are making no progress, but you will live and die as someone quite ordinary. From now on, then, resolve to live as a grown-up who is making progress, and make whatever you think best a law that you never set aside. And whenever you encounter anything that is difficult or pleasurable, or highly or lowly regarded, remember that the contest is now: you are at the Olympic Games, you cannot wait any longer, and that your progress is wrecked or preserved by a single day and a single event. That is how Socrates fulfilled himself by attending to nothing except reason in everything he encountered. And you, although you are not yet a Socrates, should live as someone who at least wants to be a Socrates.",Epictetus,philosophy-of-life,Estoicismo
All I know is that I do not know anything,Socrates,philosophy-of-life,Filosofia Socrática
"There is no sun without shadow, and it is essential to know the night.",Albert Camus,philosophy-of-life,Existencialismo / Absurdismo
"As to the roaming of sages,They move in utter emptiness,Let their minds meander in the great nothingness;They run beyond conventionAnd go through where there is no gateway.They listen to the soundlessAnd look at the formless,They are not constrained by societyAnd not bound to its customs.- Lao-tzu",Lao Tzu,philosophy-of-life,Taoismo
Sexual ecstasy is like death. It is one of the secrets of nature’s wisdom.,Marcus Aurelius,philosophy-of-life,Estoicismo
"The society we have described can never grow into a reality or see the light of day, and there will be no end to the troubles of states, or indeed, my dear Glaucon, of humanity itself, till philosophers become rulers in this world, or till those we now call kings and rulers really and truly become philosophers, and political power and philosophy thus come into the same hands.” ― Plato, Plato's Republic",Plato,philosophy-of-life,Platonismo
"Intelligent individuals learn from every thing and every one; average people, from their experiences. The stupid already have all the answers.",Socrates,"behavioural-psychology, philosophy-of-life",Filosofia Socrática
"Remember that all we have is “on loan” from Fortune, which can reclaim it without our permission—indeed, without even advance notice. Thus, we should love all our dear ones, but always with the thought that we have no promise that we may keep them forever—nay, no promise even that we may keep them for long.",Seneca,"philosophy-of-life, stoicism",Estoicismo
"The Master, by residing in the Tao,sets an example for all beings.Because he doesn't display himself,people can see his light.Because he has nothing to prove,people can trust his ",Lao Tzu,"inspirational, philosophy-of-life, simplicity",Taoismo
"I think my life is of great importance, but I also think it is meaningless.",Albert Camus,"absurd, absurdism, musings, philosophy, philosophy-of-life",Existencialismo / Absurdismo
Nature loves to hide.,Heraclitus,philosophy-of-life,Pré-socrático
"So long as we exist, death is not with us; but when death comes, then we do not exist",Epicurus,philosophy-of-life,Epicurismo
The end toward which all human acts are directed is happiness.,Aristotle,"inspirational, philosophy-of-life",Peripatético / Aristotelismo
The saddest of all tragedies - the wasted life,Aristotle,"inspirational, philosophy-of-life",Peripatético / Aristotelismo
Kind words do not cost much. Yet they accomplish much,Blaise Pascal,philosophy-of-life,Jansenismo / Existencialismo Cristão (precursor)
"Good bye, proud world! I'm going home; Thou art not my friend, and I'm not thine",Ralph Waldo Emerson,home,Transcendentalismo
Everyone who has ever built anywhere a new heaven first found the power thereto in his own hell.,Friedrich Nietzsche,"heaven, hell, nietzsche",Niilismo / Existencialismo (precursor)
"Even if no salvation should come, I want to be worthy of it at every moment.",Franz Kafka,"every-moment, franz-kafka, heaven, kafka, life, moment, salvation, worthy",Existencialismo (influência) / Absurdo
"Heaven's net is wide, but its mesh is fine",Lao Tzu,"heaven, inspirational",Taoismo
There are no differences but differences of degree between different degrees of difference and no difference.,William James,"ambien, hallucinogenic-drugs, mysticism, nitrous-oxide, paranormal",Pragmatismo
The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently.,Friedrich Nietzsche,"corruption, individuality, peer-pressure, youth",Niilismo / Existencialismo (precursor)
"Young people are in a condition like permanent intoxication, because life is sweet and they are growing.",Aristotle,"joy-of-life, youth",Peripatético / Aristotelismo
"In a moment, when I throw myself down among the absinthe plants to bring their scent into my body, I shall know, appearances to the contrary, that I am fulfilling a truth which is the sun's and which will also be my death's. In a sense, it is indeed my life that I am staking here, a life that tastes of warm stone, that is full of the signs of the sea and the rising song of the crickets. The breeze is cool and the sky blue. I love this life with abandon and wish to speak of it boldly: it makes me proud of my human condition. Yet people have often told me: there's nothing to be proud of. Yes, there is: this sun, this sea, my heart leaping with youth, the salt taste of my body and this vast landscape in which tenderness and glory merge in blue and yellow. It is to conquer this that I need my strength and my resources. Everything here leaves me intact, I surrender nothing of myself, and don no mask: learning patiently and arduously how to live is enough for me, well worth all their arts of living.",Albert Camus,"sensualism, youth",Existencialismo / Absurdismo
"Regard your good name as the richest jewel you can possibly be possessed of -- for credit is like fire; when once you have kindled it you may easily preserve it, but if you once extinguish it, you will find it an arduous task to rekindle it again. The way to a good reputation is to endeavor to be what you desire to appear.",Socrates,"honor, integrity, reputation, respect",Filosofia Socrática
"No one can insult me, because I do not want respect.No one can defeat me, because I have given up the idea of winning.How can you defeat me? You can only defeat someone who wants to win.",Lao Tzu,"defeat, insult, respect, winning",Taoismo
"What I write is different from what I say, what I say is different from what I think, what I think is different from what I ought to think and so it goes further into the deepest darkness.",Franz Kafka,communication,Existencialismo (influência) / Absurdo
To speak little is natural. Therefore a gale does not blow a whole morning nor does a downpour last a whole day.,Lao Tzu,communication,Taoismo
A problem well-defined is a problem half solved.,John Dewey,"communication, decision-making, problem-solving",Pragmatismo
"What I must do, is all that concerns me, not what the people think. This rule, equally arduous in actual and in intellectual life, may serve for the whole distinction between greatness and meanness. It is the harder, because you will always find those who think they know what is your duty better than you know it. It is easy in the world to live after the world's opinion; it is easy in solitude to live after our own; but the great man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude.",Ralph Waldo Emerson,"mindfulness, solitude",Transcendentalismo
"One sticks to an opinion because he prides himself on having come to it on his own, and another because he has taken great pains to learn it and is proud to have grasped it: and so both do so out of vanity.",Friedrich Nietzsche,"opinions, pride, vanity",Niilismo / Existencialismo (precursor)
"Early in the morning, at break of day, in all the freshness and dawn of one’s strength, to read a book – I call that viciousness!",Friedrich Nietzsche,pride,Niilismo / Existencialismo (precursor)
"Because one believes in oneself, one doesn't try to convince others. Because one is content with oneself, one doesn't need others' approval. Because one accepts oneself, the whole world accepts him or her.",Lao Tzu,"acceptance, contentment, perception, self-acceptance, self-assurance, self-confidence",Taoismo
"The end of a melody is not its goal: but nonetheless, had the melody not reached its end it would not have reached its goal either. A parable.",Friedrich Nietzsche,"acceptance, endings",Niilismo / Existencialismo (precursor)
"Be not virtuous beyond your powers! And seek nothing from yourselves opposed to probability!...Shy, ashamed, awkward, like the tiger whose spring hath failed—thus, ye higher men, have I often seen you slink aside. A cast which ye made had failed...The higher its type, always the seldomer doth a thing succeed. Ye higher men here, have ye not all—been failures?Be of good cheer; what doth it matter? How much is still possible! Learn to laugh at yourselves, as ye ought to laugh!What wonder even that ye have failed and only half-succeeded, ye half-shattered ones! Doth not—man's future strive and struggle in you?Man's furthest, profoundest, star-highest issues, his prodigious powers—do not all these foam through one another in your vessel?What wonder that many a vessel shattereth! Learn to laugh at yourselves, as ye ought to laugh! Ye higher men, Oh, how much is still possible!",Friedrich Nietzsche,"acceptance, striving, sufficiency",Niilismo / Existencialismo (precursor)
"The earth makes a sound as of sighs and the last drops fall from the emptied cloudless sky. A small boy, stretching out his hands and looking up at the blue sky, asked his mother how such a thing was possible. Fuck off, she said.",Samuel Beckett,"beckett, fuck, irish, off, samuel, writer",Teatro do Absurdo
"I have walked myself into my best thoughts and I know of no thought so burdensome that one cannot walk away from it...but by sitting still, and the more one sits still, the closer one comes to feeling ill.",Søren Kierkegaard,"19th-century-philosopher, writer",Existencialismo Cristão
"The existence of the writer is an argument against the existence of the soul, for the soul has obviously taken flight from the real ego, but not improved itself, only become a writer.",Franz Kafka,"ego, existence, flight, soul, writer",Existencialismo (influência) / Absurdo
Prayer is listening.,Søren Kierkegaard,"discipleship, focus, thought-life",Existencialismo Cristão
"He who writes in blood and aphorisms does not want to be read, he wants to be learned by heart.",Friedrich Nietzsche,"author, blood, writing",Niilismo / Existencialismo (precursor)
A writer never takes a vacation. For a writer life consists of either writing or thinking about writing,Eugène Ionesco,author,Teatro do Absurdo
"Writers whose thoughts are expressed with clarity and precision are assumed by readers to be superficial. Where the meaning is obscured, then readers give more attention and consider the fruit of their labour more valuable",Friedrich Nietzsche,"author, clarity, cynical, obscure, precision, reader",Niilismo / Existencialismo (precursor)
"She is so distinct to me, it's as though I had run my hands all over her.",Franz Kafka,"imagery, romantic",Existencialismo (influência) / Absurdo
No great man ever complains of want of opportunity.,Ralph Waldo Emerson,opportunity,Transcendentalismo
We are born under circumstances that would be favorable if we did not abandon them. It was nature's intention that there should be no need of great equipment for a good life: every individual can make himself happy.,Seneca,"happiness, life, opportunity",Estoicismo
"To the poet, to the philosopher, to the saint, all things are friendly and sacred, all events profitable, all days holy, all men divine.",Ralph Waldo Emerson,"divine, holy, philosopher, poet, sacred",Transcendentalismo
Simply to acquiesce in skepticism can never suffice to overcome the restlessness of reason.,Immanuel Kant,"reason, skepticism",Idealismo Transcendental
Time heals what reason cannot.,Seneca,"reason, time",Estoicismo
But all remains unchanged.,Franz Kafka,"anxiety, reason, unfinished",Existencialismo (influência) / Absurdo
"In the woods, we return to reason and faith. There I feel that nothing can befall me in life, — no disgrace, no calamity, (leaving me my eyes,) which nature cannot repair.",Ralph Waldo Emerson,"faith, nature, reason",Transcendentalismo
Shows itself in the notion that what may be objectively true may in the mouth of certain people become false.,Søren Kierkegaard,"faith, philosophy-of-religion, reason, subjectivity, subjectivity-is-truth",Existencialismo Cristão
Nihil est sine ratione.[There is nothing without a reason.],Gottfried Wilhelm Leibniz,"leibniz, nothing, reason",Racionalismo
I call him free who is led solely by reason.,Baruch Spinoza,"freedom, philosophy, reason",Racionalismo
"The whole interest of my reason, whether speculative or practical, is concentrated in the three following questions: What can I know? What should I do? What may I hope? (Critique of Pure Reason",Immanuel Kant,"ethics, kant, philosophy, reason",Idealismo Transcendental
"In proportion as we endeavor to live according to the guidance of reason, shall we strive as much as possible to depend less on hope, to liberate ourselves from fear, to rule fortune, and to direct our actions by the sure counsels of reason.",Baruch Spinoza,reason,Racionalismo
You have given me a gift such as I never even dreamt of finding in this life.,Franz Kafka,gift,Existencialismo (influência) / Absurdo
"Being, as the basic theme of philosophy, is no class or genus of entities; yet it pertains to every entity. Its 'universality' is to be sought higher up. Being and the structure of Being lie beyond every entity and every possible character which an entity may possess. *Being is a transcendens pure and simple*. And the transcendence of Dasein's Being is distinctive in that it implies the possibility and the necessity of the most radical *individuation*. Every disclosure of Being as the *transcendens* is *transcendental* knowledge. *Phenomenological truth (the disclosedness of Being) is veritas transcendentalis*.Ontology and phenomenology are not two distinct philosophical disciplines among others. These terms characterize philosophy itself with regard to its object and its way of treating that object. Philosophy is universal phenomenological ontology, and takes its departure from the hermeneutic of Dasein, which, as an analytic of *existence*, has made fast the guide-line for all philosophical inquiry at the point where it *arises* and to which it *returns*.""―from_Being and Time_. Translated by John Macquarrie & Edward Robinson, p. 62",Martin Heidegger,"being, existence, heidegger, metaphysics, ontology, phenomenology",Fenomenologia / Existencialismo
"Even more, in the created thing, is a perfection that she exists; since the greatest of all imperfections is, not to exist.",Baruch Spinoza,"existence, life",Racionalismo
"If existence really does precede essence, there is no explaining things away by reference to a fixed and given human nature, In other words, there is no determinism, man is free, man is freedom. On the other hand, if God does not exist, we find no values or commands to turn to which legitimize our conduct. So, in the bright realm of values, we have no excuses behind us, no justification before us. We are alone with no excuses.This is the idea I shall try to convey when I say that man is condemned to be free. Condemned, because he did not create himself, yet in other respects is free; because once thrown into the world, he is responsible for everything he does.",Jean-Paul Sartre,"condemnation, existence, existentialism, freedom, god, humanism, life, purpose, responsibility, valuesmnation",Existencialismo
"Come, sleep and death; you promise nothing, you hold everything.",Søren Kierkegaard,"death, existence, existentialism, sleep",Existencialismo Cristão
"There are, as is known, insects that die in the moment of fertilization. So it is with all joy: life’s highest, most splendid moment of enjoyment is accompanied by death.",Søren Kierkegaard,"death, either-or, existence, existentialism, life-lessons",Existencialismo Cristão
"I shall be as willing as the next man to fall down in worship before the System, if only I can manage to set eyes on it. Hitherto I have had no success; and though I have young legs, I am almost weary from running back and forth... Once or twice I have been on the verge of bending the knee. But at the last moment, when I already had my handkerchief spread on the ground, to avoid soiling my trousers, and I made a trusting appeal to one of the initiated who stood by: ""Tell me now sincerely, is it entirely finished; for if so I will kneel down before it, even at the risk of ruining a pair of trousers (for on account of the heavy traffic to and from the system, the road has become quite muddy),"" - I always receive the same answer: ""No, it is not yet quite finished."" And so there was another postponement - of the system, and of my homage. System and finality are pretty much one and the same, so much so that if the system is not finished, there is no system.",Søren Kierkegaard,"existence, finality, system",Existencialismo Cristão
"Atlas was permitted the opinion that he was at liberty, if he wished, to drop the Earth and creep away; but this opinion was all that he was permitted.",Franz Kafka,"liberty, life, opinion",Existencialismo (influência) / Absurdo
"This is why it is not true that culture can be, even temporarily, suspended in order to make way for a new culture. Man’s unbroken testimony as to his suffering and his nobility cannot be suspended; the act of breathing cannot be suspended. There is no culture without legacy, and we cannot and must not reject anything of ours, the legacy of the West. Whatever the works of the future may be, they will bear the same secret, made up of courage and freedom, nourished by the daring of thousands of artists of all times and all nations. Yes, when modern tyranny shows us that, even when confined to his calling, the artist is a public enemy, it is right. But in this way tyranny pays its respects, through the artist, to an image of man that nothing has ever been able to crush. My conclusion will be simple. It will consist of saying, in the very midst of the sound and the fury of our history: “Let us rejoice.",Albert Camus,"camus, liberty, tyranny",Existencialismo / Absurdismo
"A thought, even a possibility, can shatter and transform us.",Friedrich Nietzsche,"possibility, profundity, thought",Niilismo / Existencialismo (precursor)
"A thought comes when it will, not when I will.",Friedrich Nietzsche,thought,Niilismo / Existencialismo (precursor)
"We have to cease to think, if we refuse to do it in the prison house of language; for we cannot reach further than the doubt which asks whether the limit we see is really a limit.",Friedrich Nietzsche,"limit-of-language, prison-house, thought",Niilismo / Existencialismo (precursor)
Only those thoughts which come from walking have any value,Friedrich Nietzsche,"thought, walking",Niilismo / Existencialismo (precursor)
The revelation of thought takes men out of servitude into freedom.,Ralph Waldo Emerson,"freedom, philosophy, thought",Transcendentalismo
"The two limits of every unit of thinking are a perplexed, troubled, or confused situation at the beginning, and a cleared up, unified, resolved situation at the close.",John Dewey,"limits, thought",Pragmatismo
The last thing one knows when writing a book is what to put first.,Blaise Pascal,thought,Jansenismo / Existencialismo Cristão (precursor)
To create is to live twice.,Albert Camus,"albert-camus, create, live",Existencialismo / Absurdismo
I look a girl in the eye and it was a very long love story with thunder and kisses and lightning. I live fast.,Franz Kafka,"franz-kafka, kiss, live, love",Existencialismo (influência) / Absurdo
"It is comic that a mentally disordered man picks up any piece of granite and carries it around because he thinks it is money, and in the same way it is comic that Don Juan has 1,003 mistresses, for the number simply indicates that they have no value. Therefore, one should stay within one’s means in the use of the word ""love"".",Søren Kierkegaard,"inspirational, live, love",Existencialismo Cristão
"Life is hard, the earth stubborn, science rich in knowledge but poor in practical results.",Franz Kafka,"earth, life, science",Existencialismo (influência) / Absurdo
"Whosoever is delighted in solitude, is either a wild beast or a god.",Aristotle,solitude,Peripatético / Aristotelismo
Guard well your spare moments. They are like uncut diamonds. Discard them and their value will never be known. Improve them and they will become the brightest gems in a useful life.,Ralph Waldo Emerson,"leisure, solitude",Transcendentalismo
"Allow the heart to empty itself of all turmoil! Retrieve the utter tranquility of the mind from which you issued.Although all forms are dynamic,and we all grow and transform,each of us is compelled to return to our root. Our root is quietude.",Lao Tzu,"quietness, solitude",Taoismo
All men's miseries derive from not being able to sit quiet in a room alone.,Blaise Pascal,"quiet, solitude",Jansenismo / Existencialismo Cristão (precursor)
Your bad love of yourselves makes solitude a prison to you.,Friedrich Nietzsche,solitude,Niilismo / Existencialismo (precursor)
Isolation is a way to know ourselves.,Franz Kafka,"isolation, solitude",Existencialismo (influência) / Absurdo
"You once said that you would like to sit beside me while I write. Listen, in that case I could not write at all. For writing means revealing oneself to excess; that utmost of self-revelation and surrender, in which a human being, when involved with others, would feel he was losing himself, and from which, therefore, he will always shrink as long as he is in his right mind-- for everyone wants to live as long as he is alive-- even the degree of self-revelation and surrender is not enough for writing.Writing that springs from the surface of existence-- when there is no other way and deeper wells have dried up-- is nothing, and collapses the moment a truer emotion makes the surface shake. That is why one can never be alone enough when one writes, why there can never be enough silence around one when one writes, why even night is not night enough.",Franz Kafka,"solitude, writing",Existencialismo (influência) / Absurdo
"It is a frightful satire and an epigram on the modern age that the only use it knows for solitude is to make it a punishment, a jail sentence.",Søren Kierkegaard,"introversion, modernity, solitude",Existencialismo Cristão
"Patience is bitter, but its fruit is sweet.",Aristotle,patience,Peripatético / Aristotelismo
"All human errors are impatience, a premature breaking off of methodical procedure, an apparent fencing-in of what is apparently at issue.",Franz Kafka,patience,Existencialismo (influência) / Absurdo
"People who walk across dark bridges, past saints,with dim, small lights.Clouds which move across gray skiespast churcheswith towers darkened in the dusk.One who leans against granite railinggazing into the evening waters,His hands resting on old stones.",Franz Kafka,"darkened, dim, dusk, inspire, lights, people, stones",Existencialismo (influência) / Absurdo
"Commit a crime, and the earth is made of glass.",Ralph Waldo Emerson,crime,Transcendentalismo
"The word miracle, as pronounced by Christian churches, gives a false impression; it is a monster. It is not one with the blowing clover and the falling rain.",Ralph Waldo Emerson,"christian, church, false, miracle, monster, nature, rain",Transcendentalismo
"The poet cannot invent new words every time, of course. He uses the words of the tribe. But the handling of the word, the accent, a new articulation, renew them.",Eugène Ionesco,inspirational-quote,Teatro do Absurdo
"Let the young soul survey its own life with a view of the following question: ‘What have you truly loved thus far? What has ever uplifted your soul, what has dominated and delighted it at the same time?",Friedrich Nietzsche,"affection, maturation, values",Niilismo / Existencialismo (precursor)
No law can be sacred to me but that of my nature. Good and bad are but names very readily transferable to that or this.,Ralph Waldo Emerson,"emerson, freedom, individuality, morals, values",Transcendentalismo
"Mistaken ideas always end in bloodshed, but in every case it is someone else's blood. This is why our thinkers feel free to say just about anything.",Albert Camus,"the-human-condition, thinkers, violence",Existencialismo / Absurdismo
"The stars awaken a certain reverence, because though always present, they are inaccessible",Ralph Waldo Emerson,"nature, reverence, sky, stars, sublime",Transcendentalismo
"Is it not true that the clever rogue is like the runner who runs well for the first half of the course, but flags before reaching the goal: he is quick off the mark, but ends in disgrace and slinks away crestfallen and uncrowned. The crown is the prize of the really good runner who perseveres to the end.",Plato,"analogy, inspirational, motivational, perseverance, philosophy, running",Platonismo
"If quick, I survive.If not quick, I am lost.This is ""death.",Sun Tzu,"spy, survival",Filosofia Militar Chinesa
Man is not worried by real problems so much as by his imagined anxieties about real problems,Epictetus,"anxiety, mankind",Estoicismo
"All the greatest blessings are a source of anxiety, and at no time should fortune be less trusted than when it is best; to maintain prosperity there is need of other prosperity, and in behalf of the prayers that have turned out well we must make still other prayers. For everything that comes to us from chance is unstable, and the higher it rises, the more liable it is to fall. Moreover, what is doomed to perish brings pleasure to no one; very wretched, therefore, and not merely short, must the life of those be who work hard to gain what they must work harder to keep. By great toil they attain what they wish, and with anxiety hold what they have attained; meanwhile they take no account of time that will never more return.",Seneca,"anxiety, blessings, chance, good-fortune, life, luck, prayers, prosperity, time, wasting-time",Estoicismo
"Everywhere we remain unfree and chained to technology, whether we passionately affirm or deny it. But we are delivered over to it in the worst possible way when we regard it as something neutral; for this conception of it, to which today we particularly pay homage, makes us utterly blind to the essence of technology.",Martin Heidegger,"heidegger, ideology, technology",Fenomenologia / Existencialismo
"Yes, but does Maine have anything to SAY to Florida?",Ralph Waldo Emerson,"humor, modernism, progress, technology",Transcendentalismo
All things are subject to interpretation. Whichever interpretation prevails at a given time is a function of power and not truth.,Friedrich Nietzsche,perception,Niilismo / Existencialismo (precursor)
Time is the moving image of eternity.,Plato,"metaphor, philosophy, time, vision",Platonismo
... We need the sweet pain of anticipation to tell us we are really alive.,Albert Camus,"anticipation, chapter, true-love",Existencialismo / Absurdismo
Big jobs usually go to the men who prove their ability to outgrow small ones.,Ralph Waldo Emerson,"ability, ability-and-attitude, effort, hard-work, inspirational, job, jobs, prove, worth",Transcendentalismo
"Every existing thing is born without reason, prolongs itself out of weakness and dies by chance.",Jean-Paul Sartre,"dark, hoplessness, life, nihilism",Existencialismo
He who fights with monsters might take care lest he thereby becomes a monster.,Friedrich Nietzsche,"dark, philosophy",Niilismo / Existencialismo (precursor)
The most clear-sided view of the darkest possible situation is itself an act of optimism,Jean-Paul Sartre,"dark, writing",Existencialismo
Genius is the ability to independently arrive at and understand concepts that would normally have to be taught by another person.,Immanuel Kant,"brilliance, education, genius, independent, intellect, intelligence, self-education, taught, teaching",Idealismo Transcendental
Sometimes at night I would sleep open-eyed underneath a sky dripping with stars. I was alive then.,Albert Camus,"life, sleep",Existencialismo / Absurdismo
"In practice it is death that works soseductively behind the image of its brother, sleep",Friedrich Nietzsche,"death, sleep",Niilismo / Existencialismo (precursor)
"Knowing others is Wisdom, knowing yourself is Enlightenment",Lao Tzu,enlightenment,Taoismo
"The main point of enlightenment is man's release from his self-caused immaturity, primarily in matters of religion.",Immanuel Kant,"enlightenment, religion",Idealismo Transcendental
"Enlightenment is man's emergence from his self-imposed nonage. Nonage is the inability to use one's own understanding without another's guidance. This nonage is self-imposed if its cause lies not in lack of understanding but in indecision and lack of courage to use one's own mind without another's guidance. Dare to know! (Sapere aude.) ""Have the courage to use your own understanding,"" is therefore the motto of the enlightenment.",Immanuel Kant,enlightenment,Idealismo Transcendental
"Laws are partly formed for the sake of good men, in order to instruct them how they may live on friendly terms with one another, and partly for the sake of those who refuse to be instructed, whose spirit cannot be subdued, or softened, or hindered from plunging into evil.",Plato,law,Platonismo
Democracy becomes a government of bullies tempered by editors.,Ralph Waldo Emerson,democracy,Transcendentalismo
"Democracy arises out of the notion that those who are equal in any respect are equal in all respects; because men are equally free, they claim to be absolutely equal.",Aristotle,"democracy, equality",Peripatético / Aristotelismo
Things refuse to be mismanaged for long.,Ralph Waldo Emerson,mistakes,Transcendentalismo
